,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
0,10.351842,-61.460003,304.2,0.56,0.43,1/3/2021,554,N,VIIRS,n,1,292.03,0.82,N,0
2,10.407093,-61.48061,305.55,0.38,0.36,1/4/2021,536,N,VIIRS,n,1,293.51,1.32,N,0
1,10.417019,-61.479012,305.29,0.38,0.36,1/4/2021,536,N,VIIRS,n,1,294.71,0.83,N,2
3,10.623645,-61.455776,310.3,0.46,0.39,1/10/2021,524,N,VIIRS,n,1,290.18,0.71,N,0
4,10.4153,-61.483971,327.14,0.55,0.68,1/10/2021,1806,N,VIIRS,n,1,292.06,2.64,D,0
5,10.579346,-61.389568,340.04,0.54,0.51,1/11/2021,1748,N,VIIRS,n,1,298.63,5.68,D,0
6,10.415857,-61.474632,302.8,0.62,0.71,1/12/2021,624,N,VIIRS,n,1,286.52,1.25,N,0
7,10.413943,-61.279732,330.39,0.42,0.38,1/13/2021,1712,N,VIIRS,n,1,298.13,2.57,D,0
8,10.368029,-61.383278,330.59,0.51,0.41,1/17/2021,1736,N,VIIRS,n,1,299.79,2.26,D,0
9,10.437649,-61.46339,329.97,0.5,0.41,1/17/2021,1736,N,VIIRS,n,1,301.25,1.98,D,0
10,10.437769,-61.462162,333.37,0.5,0.41,1/17/2021,1736,N,VIIRS,n,1,301.3,2.42,D,0
11,10.409734,-61.478512,303.86,0.38,0.59,1/18/2021,612,N,VIIRS,n,1,291.12,1.28,N,2
13,10.404474,-61.462276,301.77,0.38,0.36,1/20/2021,536,N,VIIRS,n,1,290.62,0.55,N,2
12,10.417149,-61.478165,304.66,0.38,0.36,1/20/2021,536,N,VIIRS,n,1,292.88,0.55,N,2
14,10.378039,-61.437027,328.25,0.38,0.59,1/22/2021,454,N,VIIRS,n,1,292.03,1.62,N,0
16,10.54388,-61.455597,333.75,0.51,0.41,1/24/2021,1706,N,VIIRS,n,1,297.81,3.93,D,0
15,10.462028,-61.433926,348.59,0.51,0.41,1/24/2021,1706,N,VIIRS,n,1,300.05,26.73,D,0
17,10.633062,-61.361103,337.37,0.5,0.41,1/24/2021,1706,N,VIIRS,n,1,304.62,5.52,D,0
18,10.404119,-61.459942,311.23,0.4,0.37,1/25/2021,542,N,VIIRS,n,1,292.04,1.04,N,0
20,10.466012,-61.434845,367,0.34,0.56,1/25/2021,1648,N,VIIRS,h,1,293.14,6.68,D,0
19,10.217609,-61.625107,319.89,0.4,0.37,1/25/2021,542,N,VIIRS,n,1,293.64,1.79,N,3
21,10.216775,-61.627403,296.39,0.47,0.39,1/26/2021,524,N,VIIRS,n,1,272.33,0.9,N,3
22,10.216319,-61.626911,306.02,0.61,0.53,1/27/2021,500,N,VIIRS,n,1,292.61,1.32,N,0
23,10.435488,-61.439766,330.81,0.53,0.5,1/27/2021,1748,N,VIIRS,n,1,300.09,2.74,D,0
24,10.198046,-61.644341,333.22,0.42,0.38,1/28/2021,1730,N,VIIRS,n,1,300.41,4.05,D,3
26,10.491533,-61.450298,336.22,0.43,0.38,1/28/2021,1730,N,VIIRS,n,1,301.21,3.77,D,0
25,10.359334,-61.419266,333.6,0.43,0.38,1/28/2021,1730,N,VIIRS,n,1,301.57,3.31,D,0
27,10.219711,-61.01511,332.41,0.41,0.37,1/29/2021,1712,N,VIIRS,n,1,300.11,4.46,D,0
28,10.336666,-61.374599,333.14,0.43,0.38,1/29/2021,1712,N,VIIRS,n,1,302.7,4.16,D,0
30,10.402952,-61.463009,303.34,0.46,0.39,1/30/2021,548,N,VIIRS,n,1,292.86,0.96,N,0
31,10.216637,-61.624847,306.85,0.46,0.39,1/30/2021,548,N,VIIRS,n,1,294.47,1.18,N,3
29,10.409358,-61.479202,306.19,0.46,0.39,1/30/2021,548,N,VIIRS,n,1,294.68,0.96,N,2
32,10.403613,-61.459873,303.95,0.4,0.37,1/31/2021,530,N,VIIRS,n,1,291.36,0.35,N,0
33,10.321832,-61.449417,304.35,0.4,0.37,1/31/2021,530,N,VIIRS,n,1,292.41,0.73,N,0
34,10.387827,-61.407436,341.67,0.34,0.56,2/1/2021,1754,N,VIIRS,n,1,292.27,3.02,D,0
36,10.594939,-61.371674,331.28,0.35,0.56,2/1/2021,1754,N,VIIRS,n,1,295.55,2.32,D,0
35,10.501542,-61.433029,338.19,0.34,0.56,2/1/2021,1754,N,VIIRS,n,1,295.83,3.26,D,0
37,10.359192,-61.017223,332.41,0.53,0.42,2/2/2021,1736,N,VIIRS,n,1,297.85,4.46,D,0
38,10.419177,-61.485771,308.43,0.38,0.36,2/5/2021,536,N,VIIRS,n,1,291.77,0.69,N,2
40,10.322566,-61.450871,307.74,0.38,0.36,2/5/2021,536,N,VIIRS,n,1,291.83,1.46,N,0
39,10.40815,-61.480377,308.37,0.38,0.36,2/5/2021,536,N,VIIRS,n,1,292.14,0.86,N,2
42,10.448335,-61.465206,336.49,0.43,0.62,2/5/2021,1642,N,VIIRS,n,1,293.82,6.56,D,0
41,10.449095,-61.46122,343.63,0.43,0.62,2/5/2021,1642,N,VIIRS,n,1,294.12,9,D,0
43,10.4108,-61.480717,304.85,0.38,0.59,2/7/2021,454,N,VIIRS,n,1,290.93,1.53,N,2
48,10.622319,-61.412533,333.14,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,298.37,2.15,D,0
44,10.388746,-61.456165,332.29,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,299.19,2.76,D,0
47,10.606595,-61.402493,340.08,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,300.51,4.97,D,0
45,10.45692,-61.433151,355.29,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,303.24,33.36,D,0
46,10.456405,-61.436993,348.93,0.42,0.45,2/7/2021,1742,N,VIIRS,n,1,307.36,33.36,D,0
49,10.409981,-61.481209,303.74,0.49,0.65,2/8/2021,618,N,VIIRS,n,1,290.6,1.01,N,2
53,10.456697,-61.449738,337.98,0.39,0.36,2/8/2021,1724,N,VIIRS,n,1,298.24,3.67,D,0
51,10.394232,-61.462051,335.88,0.39,0.36,2/8/2021,1724,N,VIIRS,n,1,298.91,2.94,D,0
50,10.39476,-61.458515,337.99,0.39,0.36,2/8/2021,1724,N,VIIRS,n,1,300.01,2.94,D,0
52,10.418232,-61.48378,330.86,0.39,0.36,2/8/2021,1724,N,VIIRS,l,1,302.5,1.93,D,2
65,10.687123,-61.224827,327.87,0.49,0.4,2/9/2021,1706,N,VIIRS,n,1,295.69,2.73,D,0
56,10.438374,-61.106716,334.14,0.49,0.4,2/9/2021,1706,N,VIIRS,n,1,298.72,3.33,D,0
55,10.370517,-61.381504,337.73,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,302.45,7.29,D,0
64,10.571298,-61.360554,336.51,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,302.71,3,D,0
63,10.58332,-61.241894,338.83,0.49,0.4,2/9/2021,1706,N,VIIRS,n,1,303.05,7.07,D,0
62,10.510194,-61.426739,335.83,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,303.39,2.14,D,0
54,10.293565,-61.356277,342.13,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,303.73,7.81,D,0
61,10.510942,-61.422134,334,0.5,0.41,2/9/2021,1706,N,VIIRS,n,1,303.77,2.14,D,0
59,10.447788,-61.454128,334.53,0.51,0.41,2/9/2021,1706,N,VIIRS,n,1,304.27,15.31,D,0
60,10.485395,-61.460453,334.62,0.51,0.41,2/9/2021,1706,N,VIIRS,l,1,305.07,5.15,D,0
58,10.444027,-61.453499,347.16,0.51,0.41,2/9/2021,1706,N,VIIRS,n,1,305.44,15.31,D,0
57,10.421464,-61.449696,344.99,0.51,0.41,2/9/2021,1706,N,VIIRS,n,1,305.51,5.11,D,0
66,10.627941,-61.316895,306.59,0.41,0.37,2/10/2021,542,N,VIIRS,n,1,292.37,0.47,N,0
67,10.409481,-61.477631,325.62,0.4,0.37,2/10/2021,542,N,VIIRS,n,1,294.22,2.13,N,0
68,10.410076,-61.481304,307.54,0.4,0.37,2/10/2021,542,N,VIIRS,n,1,294.36,2.6,N,2
74,10.515052,-61.445938,339.22,0.34,0.56,2/10/2021,1648,N,VIIRS,n,1,294.79,2.59,D,0
72,10.513309,-61.446732,325.46,0.34,0.56,2/10/2021,1648,N,VIIRS,n,1,295.55,3.57,D,0
73,10.509933,-61.444988,332.1,0.34,0.56,2/10/2021,1648,N,VIIRS,n,1,296.15,2.59,D,0
70,10.30035,-61.354633,330.69,0.33,0.56,2/10/2021,1648,N,VIIRS,n,1,296.19,3.92,D,0
69,10.298612,-61.353573,336.19,0.34,0.56,2/10/2021,1648,N,VIIRS,n,1,296.52,4.26,D,0
71,10.513861,-61.443638,353.75,0.34,0.56,2/10/2021,1648,N,VIIRS,n,1,297.01,3.57,D,0
81,10.410214,-61.414505,334.5,0.56,0.69,2/11/2021,1806,N,VIIRS,n,1,287.87,5.46,D,0
80,10.407947,-61.416214,326.41,0.56,0.69,2/11/2021,1806,N,VIIRS,n,1,288.09,4.26,D,0
76,10.615312,-61.299232,316.99,0.45,0.39,2/11/2021,524,N,VIIRS,n,1,291.42,1.24,N,0
77,10.404631,-61.46117,304.22,0.46,0.39,2/11/2021,524,N,VIIRS,n,1,291.44,0.55,N,2
75,10.615922,-61.303387,302.23,0.45,0.39,2/11/2021,524,N,VIIRS,n,1,291.49,1.3,N,0
79,10.408577,-61.410995,342.15,0.56,0.69,2/11/2021,1806,N,VIIRS,n,1,291.77,4.26,D,0
78,10.32074,-61.45092,307.31,0.46,0.39,2/11/2021,524,N,VIIRS,n,1,292.41,1.37,N,0
82,10.40846,-61.478313,302.51,0.6,0.53,2/12/2021,500,N,VIIRS,n,1,290.06,1.23,N,2
83,10.636491,-61.480194,297.87,0.46,0.39,2/15/2021,548,N,VIIRS,n,1,270.34,0.52,N,0
84,10.320649,-61.447777,305.25,0.46,0.39,2/15/2021,548,N,VIIRS,n,1,286.06,0.71,N,0
85,10.370203,-61.411488,328.18,0.53,0.5,2/15/2021,1654,N,VIIRS,n,1,287.31,3.71,D,0
86,10.369296,-61.408482,326.73,0.53,0.5,2/15/2021,1654,N,VIIRS,n,1,289.49,4.69,D,0
88,10.320457,-61.450699,301.24,0.4,0.37,2/16/2021,530,N,VIIRS,n,1,279.03,0.58,N,0
87,10.635924,-61.481483,302.15,0.4,0.37,2/16/2021,530,N,VIIRS,n,1,281.54,0.61,N,0
90,10.320041,-61.450378,307.96,0.47,0.47,2/17/2021,506,N,VIIRS,n,1,292.95,1.3,N,0
89,10.409204,-61.47897,303.3,0.47,0.48,2/17/2021,506,N,VIIRS,n,1,293.12,0.79,N,2
94,10.472509,-61.455742,304.66,0.49,0.65,2/18/2021,448,N,VIIRS,n,1,290.13,1.78,N,0
92,10.468349,-61.461197,305.13,0.49,0.65,2/18/2021,448,N,VIIRS,n,1,290.23,1.48,N,0
91,10.474406,-61.460392,304.84,0.49,0.65,2/18/2021,448,N,VIIRS,n,1,290.24,0.98,N,0
95,10.323689,-61.453171,308.54,0.49,0.65,2/18/2021,448,N,VIIRS,n,1,290.55,1.23,N,0
93,10.473092,-61.460339,317.91,0.49,0.65,2/18/2021,448,N,VIIRS,n,1,290.69,3.16,N,0
96,10.323345,-61.448082,307.35,0.39,0.59,2/19/2021,612,N,VIIRS,n,1,292.63,1.01,N,0
98,10.407248,-61.481052,303.4,0.38,0.36,2/21/2021,536,N,VIIRS,n,1,291.74,1.11,N,2
99,10.320704,-61.44841,315.09,0.38,0.36,2/21/2021,536,N,VIIRS,n,1,291.83,0.82,N,0
97,10.417173,-61.479454,308.35,0.38,0.36,2/21/2021,536,N,VIIRS,n,1,293.09,0.97,N,2
100,10.417809,-61.480949,303.81,0.56,0.43,2/22/2021,518,N,VIIRS,n,1,287.9,1.07,N,2
101,10.320365,-61.448254,304.32,0.56,0.43,2/22/2021,518,N,VIIRS,n,1,288.22,1.59,N,0
102,10.321597,-61.449894,307.92,0.56,0.43,2/22/2021,518,N,VIIRS,n,1,288.29,1.51,N,0
106,10.435718,-61.474373,338.4,0.34,0.56,2/26/2021,1648,N,VIIRS,n,1,286.11,1.31,D,0
104,10.322133,-61.45018,304.54,0.4,0.37,2/26/2021,542,N,VIIRS,n,1,291.33,0.53,N,0
103,10.417713,-61.479626,335.42,0.4,0.37,2/26/2021,542,N,VIIRS,n,1,292.14,4.42,N,2
105,10.418579,-61.480896,367,0.34,0.56,2/26/2021,1648,N,VIIRS,h,1,292.91,8.06,D,2
109,10.409156,-61.480377,302.48,0.46,0.39,2/27/2021,524,N,VIIRS,n,1,289.14,1.55,N,2
107,10.419993,-61.478725,310.44,0.46,0.39,2/27/2021,524,N,VIIRS,n,1,290.9,1.76,N,2
108,10.416381,-61.479271,338.68,0.46,0.39,2/27/2021,524,N,VIIRS,n,1,291.92,11.42,N,2
110,10.41636,-61.479935,337.84,0.6,0.53,2/28/2021,500,N,VIIRS,n,1,291.6,4.65,N,2
111,10.23451,-61.488579,341.14,0.52,0.5,2/28/2021,1748,N,VIIRS,n,1,300.17,7.55,D,0
112,10.418401,-61.476681,342.41,0.53,0.5,2/28/2021,1748,N,VIIRS,n,1,301.95,9.27,D,2
113,10.416792,-61.479748,342.94,0.53,0.5,2/28/2021,1748,N,VIIRS,n,1,303.13,7.09,D,2
114,10.27002,-61.425873,330.09,0.43,0.38,3/1/2021,1730,N,VIIRS,n,1,298.85,3.09,D,0
120,10.437645,-61.454533,331.68,0.43,0.38,3/1/2021,1730,N,VIIRS,n,1,300.86,2.28,D,0
119,10.416265,-61.479221,341.52,0.43,0.38,3/1/2021,1730,N,VIIRS,n,1,301.33,5.59,D,2
115,10.315703,-61.380726,339.56,0.43,0.38,3/1/2021,1730,N,VIIRS,n,1,301.66,3.58,D,0
116,10.315138,-61.384632,334.45,0.43,0.38,3/1/2021,1730,N,VIIRS,n,1,303.55,3.58,D,0
118,10.363153,-61.427773,338.44,0.43,0.38,3/1/2021,1730,N,VIIRS,n,1,303.85,6.77,D,0
117,10.36586,-61.427967,339.45,0.43,0.38,3/1/2021,1730,N,VIIRS,n,1,304.9,6.7,D,0
121,10.420182,-61.478745,304.99,0.6,0.53,3/2/2021,606,N,VIIRS,n,1,291.13,1.07,N,2
122,10.415322,-61.479645,303.08,0.6,0.53,3/2/2021,606,N,VIIRS,n,1,291.67,1.81,N,2
131,10.191315,-61.624432,328.72,0.44,0.38,3/2/2021,1712,N,VIIRS,l,1,301.73,2.78,D,0
132,10.241805,-61.350571,336.73,0.43,0.38,3/2/2021,1712,N,VIIRS,l,1,306.9,4.83,D,0
137,10.369734,-61.414337,338.61,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,307.35,4.38,D,0
127,10.196891,-61.431274,334.71,0.43,0.38,3/2/2021,1712,N,VIIRS,l,1,307.48,6.03,D,0
129,10.21456,-61.410072,335.87,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,308.51,3.64,D,0
140,10.37829,-61.427704,333.85,0.43,0.38,3/2/2021,1712,N,VIIRS,l,1,308.59,4.21,D,0
135,10.293967,-61.410233,334.17,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,308.83,3.27,D,0
142,10.457653,-61.472713,334.15,0.43,0.38,3/2/2021,1712,N,VIIRS,l,1,308.85,3.3,D,0
136,10.293344,-61.414131,335.07,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,308.97,3.27,D,0
139,10.372584,-61.418804,335.02,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,309.1,4.38,D,0
123,10.191166,-61.422329,337.42,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,309.19,3.48,D,0
124,10.190541,-61.426239,341.85,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,309.38,4.26,D,0
141,10.456256,-61.476505,347.59,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,309.48,5.13,D,0
143,10.45702,-61.476627,347.45,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,309.54,7.01,D,0
138,10.373213,-61.414894,343.72,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,310.06,4.38,D,0
126,10.194028,-61.4268,348.07,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,310.21,6.03,D,0
125,10.194652,-61.422894,350.66,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,311.04,9.8,D,0
130,10.216188,-61.422333,339.52,0.43,0.38,3/2/2021,1712,N,VIIRS,l,1,311.58,9.33,D,0
133,10.243664,-61.406708,346.79,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,311.59,12.93,D,0
128,10.215179,-61.406158,345.98,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,312.26,3.64,D,0
134,10.270864,-61.398468,354.04,0.43,0.38,3/2/2021,1712,N,VIIRS,n,1,312.5,7.8,D,0
144,10.41938,-61.479599,304.51,0.46,0.39,3/3/2021,548,N,VIIRS,n,1,292.44,0.84,N,2
145,10.415778,-61.480213,305.03,0.46,0.39,3/3/2021,548,N,VIIRS,n,1,293.68,0.84,N,2
146,10.274007,-61.387985,330.43,0.53,0.5,3/3/2021,1654,N,VIIRS,n,1,294.8,3.07,D,0
147,10.41592,-61.479092,328.11,0.42,0.45,3/8/2021,1700,N,VIIRS,n,1,297.33,1.44,D,2
154,10.618982,-61.391415,330.03,0.43,0.62,3/9/2021,1642,N,VIIRS,n,1,289.71,3.96,D,0
153,10.619717,-61.387508,342.99,0.42,0.61,3/9/2021,1642,N,VIIRS,n,1,292.2,3.96,D,0
148,10.417766,-61.483444,304.4,0.38,0.36,3/9/2021,536,N,VIIRS,n,1,292.49,0.95,N,2
150,10.413909,-61.480488,305.05,0.38,0.36,3/9/2021,536,N,VIIRS,n,1,293.47,1.46,N,2
149,10.417216,-61.479954,313.54,0.38,0.36,3/9/2021,536,N,VIIRS,n,1,293.7,0.95,N,2
151,10.416144,-61.481312,326.6,0.43,0.62,3/9/2021,1642,N,VIIRS,n,1,294.11,3.3,D,2
152,10.607461,-61.328617,328.25,0.42,0.61,3/9/2021,1642,N,VIIRS,n,1,295.28,2.3,D,0
155,10.570082,-61.349762,302.16,0.59,0.53,3/16/2021,500,N,VIIRS,n,1,288.31,0.76,N,0
156,10.41572,-61.478668,308.16,0.6,0.53,3/16/2021,500,N,VIIRS,n,1,289.5,2.89,N,2
160,10.416701,-61.478382,299.64,0.62,0.71,3/17/2021,624,N,VIIRS,n,1,283.93,0.27,N,2
159,10.414794,-61.47821,300.97,0.62,0.71,3/17/2021,624,N,VIIRS,n,1,284.56,0.99,N,2
162,10.38167,-61.473804,308.13,0.62,0.71,3/17/2021,624,N,VIIRS,n,1,285.76,2.27,N,0
161,10.41015,-61.479736,301.29,0.62,0.71,3/17/2021,624,N,VIIRS,n,1,286.06,0.27,N,2
157,10.419042,-61.482216,305.7,0.63,0.72,3/17/2021,442,N,VIIRS,n,1,287.12,1.63,N,2
158,10.412355,-61.483101,303.42,0.63,0.72,3/17/2021,442,N,VIIRS,n,1,287.3,2.04,N,2
164,10.424644,-61.443645,334.37,0.43,0.38,3/17/2021,1730,N,VIIRS,n,1,293.04,4.15,D,0
163,10.425213,-61.439751,335.8,0.43,0.38,3/17/2021,1730,N,VIIRS,n,1,293.1,5.96,D,0
165,10.415341,-61.481129,307.57,0.6,0.53,3/18/2021,606,N,VIIRS,n,1,290.33,3.16,N,2
166,10.416574,-61.476429,312.85,0.6,0.53,3/18/2021,606,N,VIIRS,n,1,290.43,3.64,N,0
168,10.619374,-61.390442,344.07,0.42,0.38,3/18/2021,1712,N,VIIRS,n,1,303.16,6.65,D,0
167,10.61652,-61.386005,335.19,0.42,0.38,3/18/2021,1712,N,VIIRS,n,1,305.21,4.54,D,0
170,10.135467,-61.44223,303.73,0.47,0.39,3/19/2021,548,N,VIIRS,n,1,291.22,0.68,N,0
169,10.418052,-61.479858,313.84,0.46,0.39,3/19/2021,548,N,VIIRS,n,1,292.94,1.33,N,2
172,10.322371,-61.448727,303.8,0.4,0.37,3/20/2021,530,N,VIIRS,n,1,291.5,0.74,N,0
171,10.418063,-61.479298,318.1,0.4,0.37,3/20/2021,530,N,VIIRS,n,1,292.24,2,N,2
173,10.419574,-61.481468,308.04,0.47,0.48,3/21/2021,506,N,VIIRS,n,1,291.26,2.09,N,2
174,10.32099,-61.449646,304.7,0.47,0.48,3/21/2021,506,N,VIIRS,n,1,291.44,1.05,N,0
176,10.385927,-61.41069,331.89,0.34,0.56,3/21/2021,1754,N,VIIRS,n,1,294.79,2.38,D,0
175,10.386324,-61.407574,331.98,0.34,0.56,3/21/2021,1754,N,VIIRS,n,1,295.09,3.39,D,0
182,10.223263,-61.616665,305.86,0.77,0.78,3/22/2021,630,N,VIIRS,n,1,277.92,2.22,N,0
183,10.222235,-61.621822,314.18,0.77,0.78,3/22/2021,630,N,VIIRS,n,1,278.28,4.25,N,0
181,10.224733,-61.623791,303,0.77,0.77,3/22/2021,630,N,VIIRS,n,1,278.53,3.29,N,3
180,10.415502,-61.479313,307.07,0.78,0.78,3/22/2021,630,N,VIIRS,n,1,283.89,2.17,N,2
177,10.418427,-61.481197,307.26,0.49,0.65,3/22/2021,448,N,VIIRS,n,1,284.76,1.51,N,2
179,10.224264,-61.620041,300.68,0.5,0.66,3/22/2021,448,N,VIIRS,n,1,285.49,2.16,N,0
178,10.224853,-61.624752,327.72,0.5,0.66,3/22/2021,448,N,VIIRS,n,1,286.62,4.25,N,0
184,10.355222,-61.408482,335.59,0.51,0.41,3/22/2021,1736,N,VIIRS,n,1,296.76,3.46,D,0
185,10.476329,-61.451969,346.11,0.5,0.41,3/22/2021,1736,N,VIIRS,n,1,298.82,7.55,D,0
186,10.225945,-61.618885,326.14,0.38,0.58,3/23/2021,612,N,VIIRS,n,1,287.59,2.71,N,0
187,10.390523,-61.413624,332.87,0.39,0.36,3/23/2021,1718,N,VIIRS,l,1,298.7,3.58,D,0
188,10.435011,-61.401249,302.49,0.57,0.43,3/24/2021,554,N,VIIRS,n,1,289.62,0.51,N,0
194,10.223573,-61.617344,309.58,0.55,0.43,3/24/2021,554,N,VIIRS,n,1,290.29,2.18,N,0
191,10.352695,-61.459599,303.02,0.56,0.43,3/24/2021,554,N,VIIRS,n,1,290.52,0.71,N,0
193,10.224414,-61.622368,318.24,0.55,0.43,3/24/2021,554,N,VIIRS,n,1,291.74,2.18,N,0
192,10.22396,-61.620628,325.74,0.55,0.43,3/24/2021,554,N,VIIRS,n,1,291.88,4.04,N,0
189,10.415933,-61.478218,312.42,0.56,0.43,3/24/2021,554,N,VIIRS,n,1,291.96,2.14,N,2
190,10.416948,-61.479729,313.38,0.56,0.43,3/24/2021,554,N,VIIRS,n,1,291.97,2.76,N,2
195,10.419248,-61.481537,308.89,0.56,0.43,3/26/2021,518,N,VIIRS,n,1,290.71,1.3,N,2
196,10.223821,-61.620049,324.36,0.57,0.43,3/26/2021,518,N,VIIRS,n,1,291.21,4.48,N,0
197,10.417765,-61.480186,320.01,0.46,0.39,3/31/2021,524,N,VIIRS,n,1,292.33,2,N,2
198,10.399055,-61.478695,323.82,0.46,0.39,3/31/2021,524,N,VIIRS,n,1,292.83,3.94,N,0
199,10.411883,-61.482208,298.85,0.63,0.72,4/2/2021,442,N,VIIRS,n,1,280.01,1.18,N,2
200,10.653031,-61.337673,343.24,0.43,0.38,4/2/2021,1730,N,VIIRS,n,1,297.66,4.86,D,0
201,10.408294,-61.479843,305.33,0.59,0.53,4/3/2021,606,N,VIIRS,n,1,291.45,1.71,N,2
202,10.407588,-61.479816,304.63,0.46,0.39,4/4/2021,548,N,VIIRS,n,1,291.49,1.19,N,2
203,10.409839,-61.479481,303.79,0.4,0.37,4/5/2021,530,N,VIIRS,n,1,284.11,0.47,N,2
204,10.292684,-61.427975,347.56,0.7,0.75,4/5/2021,1812,N,VIIRS,n,1,288.66,6.66,D,0
205,10.291574,-61.426235,347.85,0.7,0.75,4/5/2021,1812,N,VIIRS,n,1,289.14,12.13,D,0
206,10.614902,-61.367535,330.48,0.34,0.56,4/6/2021,1754,N,VIIRS,n,1,288.42,2.28,D,0
207,10.321289,-61.453426,302.52,0.49,0.65,4/7/2021,448,N,VIIRS,n,1,288.08,0.39,N,0
209,10.372688,-61.414841,302.47,0.38,0.59,4/8/2021,612,N,VIIRS,n,1,288.5,0.39,N,0
208,10.412169,-61.475391,322.08,0.38,0.59,4/8/2021,612,N,VIIRS,n,1,290.06,3.36,N,0
210,10.409459,-61.480915,305.38,0.57,0.43,4/11/2021,512,N,VIIRS,n,1,287.43,1.61,N,2
211,10.411278,-61.481503,305.24,0.39,0.59,4/12/2021,454,N,VIIRS,n,1,288.62,1.12,N,2
212,10.410158,-61.478596,303.87,0.48,0.65,4/13/2021,618,N,VIIRS,n,1,288.55,0.8,N,2
213,10.103684,-61.424786,334.21,0.39,0.36,4/13/2021,1724,N,VIIRS,n,1,297.08,2.39,D,0
214,10.605374,-61.388157,344.34,0.39,0.36,4/13/2021,1724,N,VIIRS,n,1,298.41,16.3,D,0
215,10.403468,-61.460938,306.55,0.4,0.37,4/15/2021,542,N,VIIRS,n,1,282.93,0.61,N,0
217,10.310825,-61.218998,342.03,0.33,0.55,4/15/2021,1648,N,VIIRS,n,1,290.76,4.52,D,0
216,10.148266,-61.375706,331.51,0.34,0.56,4/15/2021,1648,N,VIIRS,n,1,291.37,4.29,D,0
218,10.419377,-61.485821,301.64,0.47,0.39,4/16/2021,524,N,VIIRS,n,1,285.24,0.44,N,2
219,10.229773,-61.488819,332.59,0.54,0.68,4/16/2021,1806,N,VIIRS,n,1,294.24,3.17,D,0
220,10.434626,-61.436581,334.68,0.55,0.68,4/16/2021,1806,N,VIIRS,n,1,295.3,2.94,D,0
221,10.436948,-61.090477,330.13,0.55,0.51,4/17/2021,1748,N,VIIRS,n,1,293.05,6.48,D,0
222,10.542456,-61.40567,346.64,0.53,0.5,4/17/2021,1748,N,VIIRS,n,1,300.01,10.23,D,0
224,11.175205,-60.783569,336.29,0.46,0.39,4/18/2021,1730,N,VIIRS,n,1,302.12,2.61,D,0
223,10.607602,-61.405388,339,0.43,0.38,4/18/2021,1730,N,VIIRS,n,1,302.74,4.71,D,0
225,10.408327,-61.47966,304.37,0.59,0.53,4/19/2021,606,N,VIIRS,n,1,291.93,1.8,N,2
226,11.190535,-60.755325,356.03,0.4,0.37,4/19/2021,1712,N,VIIRS,n,1,306.08,12.14,D,0
227,10.198282,-61.643715,306.31,0.45,0.39,4/20/2021,548,N,VIIRS,n,1,291.5,1.05,N,3
229,10.376204,-61.415245,304.6,0.4,0.37,4/21/2021,530,N,VIIRS,n,1,292.2,0.4,N,0
228,10.410386,-61.47847,305.42,0.41,0.37,4/21/2021,530,N,VIIRS,n,1,294.04,0.99,N,2
230,10.408735,-61.479324,307.36,0.48,0.48,4/22/2021,506,N,VIIRS,n,1,293.14,1.89,N,2
231,10.277655,-61.424965,332.27,0.33,0.56,4/22/2021,1754,N,VIIRS,n,1,294.48,2.88,D,0
234,10.414686,-61.474537,302.3,0.78,0.78,4/23/2021,630,N,VIIRS,n,1,287.39,1.9,N,0
233,10.417665,-61.475445,305.06,0.78,0.78,4/23/2021,630,N,VIIRS,n,1,288.16,3.36,N,2
232,10.417773,-61.479469,323.85,0.5,0.66,4/23/2021,448,N,VIIRS,n,1,290.38,3.21,N,2
240,10.349038,-61.330811,330.37,0.51,0.41,4/23/2021,1736,N,VIIRS,n,1,296.86,3.6,D,0
244,11.259143,-60.713188,337,0.56,0.43,4/23/2021,1736,N,VIIRS,n,1,297.36,7.73,D,0
235,10.070206,-61.648762,332.62,0.48,0.4,4/23/2021,1736,N,VIIRS,n,1,299.07,3.59,D,3
